High,Low,Open,Close,Volume,Adj Close
1673.06005859375,1566.760009765625,1638.8800048828125,1639.8299560546875,80936900,1639.8299560546875
1823.75,1586.5699462890625,1655.1300048828125,1780.75,100832200,1780.75
1956.3399658203125,1798.72998046875,1800.1099853515625,1926.52001953125,81293700,1926.52001953125
1964.4000244140625,1772.699951171875,1933.0899658203125,1775.0699462890625,98214400,1775.0699462890625
1935.199951171875,1672.0,1760.010009765625,1893.6300048828125,74742700,1893.6300048828125
2035.800048828125,1849.43994140625,1922.97998046875,1866.780029296875,73088800,1866.780029296875
1897.9200439453125,1743.510009765625,1871.719970703125,1776.2900390625,79771200,1776.2900390625
1853.6600341796875,1709.219970703125,1770.0,1735.9100341796875,61172900,1735.9100341796875
1798.8499755859375,1685.06005859375,1746.0,1776.6600341796875,70360500,1776.6600341796875
1824.68994140625,1722.7099609375,1788.010009765625,1800.800048828125,52076200,1800.800048828125
1901.4000244140625,1735.0,1804.4000244140625,1847.8399658203125,68149600,1847.8399658203125
1917.8199462890625,1847.43994140625,1875.0,1861.6400146484375,54376600,1861.6400146484375
1894.9599609375,1847.43994140625,1891.3699951171875,1861.6400146484375,3766181,1861.6400146484375
